id,generation,prop_cooperators,avg_cohesion,avg_cohesion_cooperators,avg_cohesion_cheaters,avg_fit_coops,avg_fit_cheat,speed
1,36,0.0,1.9470723340866478,nan,1.9470723340866478,nan,1.4438641559011487,1
1,37,0.0,1.929137514078126,nan,1.929137514078126,nan,1.301833555564669,1
1,38,0.0,1.924580674206841,nan,1.924580674206841,nan,1.3746970556948708,1
1,39,0.0,1.9020026634704439,nan,1.9020026634704439,nan,1.4847571998152234,1
1,40,0.0,1.8899467299615023,nan,1.8899467299615023,nan,1.5382407758010053,1
1,41,0.0,1.8846600273079133,nan,1.8846600273079133,nan,1.7849157501522164,1
1,42,0.0,1.8743786292715179,nan,1.8743786292715179,nan,1.2983236575083197,1
1,43,0.0,1.8778379505001879,nan,1.8778379505001879,nan,1.1071530434124952,1
1,44,0.0,1.8813781667687575,nan,1.8813781667687575,nan,1.1491979736709623,1
1,45,0.0,1.8825623465513583,nan,1.8825623465513583,nan,1.2031019482280645,1
1,46,0.0,1.8933272175116713,nan,1.8933272175116713,nan,1.3294425919519228,1
1,47,0.0,1.907106162854943,nan,1.907106162854943,nan,1.2859174596634184,1
1,48,0.0,1.8983246565648098,nan,1.8983246565648098,nan,1.2116937179428675,1
1,49,0.0,1.910322237736759,nan,1.910322237736759,nan,1.3051751796161362,1
1,50,0.0,1.919929098320876,nan,1.919929098320876,nan,1.2241335686800547,1
1,51,0.0,1.8947680482187637,nan,1.8947680482187637,nan,1.5209450987095732,1
1,52,0.0,1.9015782256532865,nan,1.9015782256532865,nan,1.5747068195541256,1
1,53,0.0,1.8848406715275021,nan,1.8848406715275021,nan,1.7044934450168423,1
1,54,0.0,1.8735818782751104,nan,1.8735818782751104,nan,1.6223209975049169,1
1,55,0.0,1.861324373743591,nan,1.861324373743591,nan,1.516651057853902,1
1,56,0.0,1.8427459656697813,nan,1.8427459656697813,nan,1.5952281058181792,1
1,57,0.0,1.838623604241486,nan,1.838623604241486,nan,1.0992976694069923,1
1,58,0.0,1.8321153949034508,nan,1.8321153949034508,nan,1.1639007843372302,1
1,59,0.0,1.8260863298801358,nan,1.8260863298801358,nan,1.1465884736397718,1
1,60,0.0,1.8250927898667613,nan,1.8250927898667613,nan,1.3239024901738294,1
1,61,0.0,1.8184732815068643,nan,1.8184732815068643,nan,1.2404054427308249,1
1,62,0.0,1.7946089369735911,nan,1.7946089369735911,nan,1.3731816457952097,1
1,63,0.0,1.7969428568627168,nan,1.7969428568627168,nan,1.2003525173926533,1
1,64,0.0,1.7891547810008586,nan,1.7891547810008586,nan,1.2143833005262832,1
1,65,0.0,1.8077760930463072,nan,1.8077760930463072,nan,1.3587691030449782,1
1,66,0.0,1.8174351580522412,nan,1.8174351580522412,nan,1.2770412186610702,1
